,YR-YR,PROV_1,PROV_2,AVG_AREA_1,CI_1,AVG_AREA_2,CI_2,P_VALUE
0,2022-2022,dolnośląskie,kujawsko-pomorskie,259.056935,"(164.5, 362.96)",338.3984041666667,"(210.54, 490.34)",0.4723
1,2022-2022,dolnośląskie,lubelskie,259.303595,"(163.95, 364.81)",355.7143416666666,"(179.16, 555.75)",0.4175
2,2022-2022,dolnośląskie,lubuskie,259.49867,"(164.2, 365.56)",332.78221428571425,"(211.42, 468.67)",0.4562
3,2022-2022,dolnośląskie,łódzkie,259.28948,"(162.24, 366.6)",212.7299416666667,"(98.75, 340.83)",0.6301
4,2022-2022,dolnośląskie,małopolskie,258.36279999999994,"(164.25, 361.45)",402.79064444444447,"(201.99, 616.14)",0.2574
5,2022-2022,dolnośląskie,mazowieckie,258.748815,"(163.7, 366.0)",382.3583821428572,"(174.71, 625.23)",0.4501
6,2022-2022,dolnośląskie,opolskie,259.440985,"(163.89, 363.8)",133.53436363636362,"(81.89, 189.82)",0.1554
7,2022-2022,dolnośląskie,podkarpackie,259.28520000000003,"(162.8, 366.51)",440.0637125,"(147.88, 770.38)",0.2364
8,2022-2022,dolnośląskie,podlaskie,259.27422,"(164.15, 367.95)",339.22218,"(57.6, 876.8)",0.672
9,2022-2022,dolnośląskie,pomorskie,259.28067999999996,"(163.6, 366.05)",178.58853333333334,"(90.5, 269.17)",0.5087
10,2022-2022,dolnośląskie,śląskie,259.231645,"(162.65, 367.3)",130.563,"(55.33, 206.67)",0.4466
11,2022-2022,dolnośląskie,świętokrzyskie,259.00400999999994,"(163.0, 366.2)",127.71125,"(55.0, 200.0)",0.3502
12,2022-2022,dolnośląskie,warmińsko-mazurskie,259.465735,"(163.3, 366.55)",200.178825,"(81.0, 390.0)",0.6979
13,2022-2022,dolnośląskie,wielkopolskie,258.787775,"(164.94, 366.5)",244.34524615384615,"(140.88, 364.54)",0.8736
14,2022-2022,dolnośląskie,zachodniopomorskie,260.05722000000003,"(164.3, 366.35)",234.802,"(70.0, 400.0)",0.9145
