,YR-YR,PROV_1,PROV_2,AVG_AREA_1,CI_1,AVG_AREA_2,CI_2,P_VALUE
0,2021-2022,dolnośląskie,dolnośląskie,255.41130500000003,"(156.9, 364.5)",259.2969,"(163.05, 363.81)",0.9721
1,2021-2022,kujawsko-pomorskie,kujawsko-pomorskie,337.4527041666667,"(206.82, 492.01)",340.079375,"(209.37, 492.02)",0.9826
2,2021-2022,lubelskie,lubelskie,323.86479166666663,"(161.15, 502.1)",356.766525,"(179.49, 548.85)",0.8322
3,2021-2022,lubuskie,lubuskie,313.5571047619048,"(197.66, 449.1)",333.5091333333333,"(215.52, 466.72)",0.8669
4,2021-2022,łódzkie,łódzkie,219.849075,"(104.75, 350.34)",210.93524166666668,"(98.49, 335.67)",0.9403
5,2021-2022,małopolskie,małopolskie,393.4786333333333,"(194.67, 605.67)",404.6502222222222,"(205.78, 620.69)",0.946
6,2021-2022,mazowieckie,mazowieckie,384.52745357142857,"(165.39, 647.64)",384.12915357142856,"(177.25, 638.87)",0.9956
7,2021-2022,opolskie,opolskie,123.48110909090909,"(77.0, 175.36)",133.39302727272727,"(80.0, 189.82)",0.8282
8,2021-2022,podkarpackie,podkarpackie,459.82125,"(164.86, 796.76)",447.371025,"(162.49, 780.25)",0.9648
9,2021-2022,podlaskie,podlaskie,335.90404,"(58.0, 875.9)",334.82838,"(57.7, 876.3)",0.9992
10,2021-2022,pomorskie,pomorskie,189.61703333333335,"(90.67, 294.5)",180.29278333333335,"(92.5, 269.17)",0.9168
11,2021-2022,śląskie,śląskie,123.9725,"(48.67, 200.0)",131.19476666666668,"(55.33, 206.67)",0.7932
12,2021-2022,świętokrzyskie,świętokrzyskie,120.541,"(45.0, 200.0)",126.7395,"(55.0, 200.0)",0.9039
13,2021-2022,warmińsko-mazurskie,warmińsko-mazurskie,199.83395,"(81.0, 320.5)",202.139175,"(81.0, 390.0)",0.9574
14,2021-2022,wielkopolskie,wielkopolskie,231.4032692307692,"(137.85, 337.96)",243.71708846153845,"(143.5, 361.04)",0.8919
15,2021-2022,zachodniopomorskie,zachodniopomorskie,179.916,"(60.0, 300.0)",234.208,"(70.0, 400.0)",0.6288
